name,disease,part used,how to use for vatta,how to use for pitta,how to use for kapha,gunna,synonyms,image
Bilva,Diarrhea,Unripe fruit,Take with warm water.,Take with cool water.,Take with ginger.,"Light, Dry",Bel,Bel.jpg
Brahmi,Memory,Whole plant,Take with warm ghee.,Take with milk.,Avoid excess; use honey.,Light,Aindri,Aindri.jpg
Bhringraj,Liver disorders,Leaf juice,Take with warm water.,Take with ghee.,Use with honey.,"Light, Dry",Keshraj,Keshraj.jpg
Brihati,Asthma,Root,Decoction with warm water.,Use with ghee.,Take with honey.,"Light, Sharp",Sinhika,Sinhika.jpg
Chandan,Burning sensation,Heartwood,External paste with oil.,Paste with rose water.,Avoid excess.,"Light, Dry",Sandalwood,Sandalwood.jpg
Raktachandan,Skin inflammation,Heartwood,External paste.,Paste with cool water.,Avoid excess.,"Heavy, Dry",Red_Sandal,Red_Sandal.jpg
Chitrak,Indigestion,Root,Use with ghee.,Avoid excess.,Take with honey.,"Light, Sharp",Agni,Agni.jpg
Dadim,Diarrhea,Fruit,Take juice warm.,Take juice cool.,Use peel decoction.,"Light, Oily",Pomegranate,Pomegranate.jpg
Danti,Constipation,Root,Use cautiously with ghee.,Avoid in Pitta.,Take with honey.,"Heavy, Sharp",Nikumbha,Nikumbha.jpg
Daruharidra,Skin disease,Stem,Decoction warm.,Use with ghee.,Use with honey.,"Light, Dry",Darvi,Darvi.jpg
Dhanyaka,Indigestion,Seed,Decoction warm.,Infusion cool.,Use with ginger.,"Light, Oily",Coriander,Coriander.jpg
Dhataki,Bleeding disorders,Flower,Decoction warm.,Decoction cool.,Use with honey.,"Light, Dry",Dhay,Dhay.jpg
Draksha,Weakness,Fruit,Take warm milk.,Take soaked fruits.,Avoid excess.,"Soft, Heavy",Grapes,Grapes.jpg
Durva,Bleeding disorders,Whole plant,Juice slightly warm.,Juice cool.,Avoid excess.,Light,Dub_grass,Dub_grass.jpg
Ela,Indigestion,Seed,Tea warm.,Tea cool.,Use with ginger.,"Light, Dry",Cardamom,Cardamom.jpg
Eranda,Constipation,Oil,Take oil with warm milk.,Avoid excess.,Use with ginger.,"Oily, Sharp",Castor,Castor.jpg
Gambhari,Fever,Bark,Decoction warm.,Decoction cool.,Use with honey.,Heavy,Kashmari,Kashmari.jpg
Gokshura,UTI,Fruit,Milk decoction.,Decoction cool.,Avoid excess.,"Heavy, Oily",Gokhru,Gokhru.jpg
Guduchi,Immunity,Stem,Decoction with ghee.,Decoction cool.,Take with honey.,"Heavy, Oily",Giloy,Giloy.jpg
Guggulu,Arthritis,Resin,With ghee.,Avoid excess.,With honey.,"Light, Sharp",Guggul,Guggul.jpg
Haridra,Inflammation,Rhizome,Milk with turmeric.,Milk with ghee.,With honey.,"Light, Dry",Turmeric,Turmeric.jpg
Haritaki,Constipation,Fruit,With warm water.,With ghee.,With honey.,"Light, Dry",Harad,Harad.jpg
Hingu,Gas,Resin,With warm water.,Avoid excess.,With ginger.,"Light, Sharp",Asafoetida,Asafoetida.jpg
Jambu,Diabetes,Seed,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Dry",Jamun,Jamun.jpg
Jatamansi,Insomnia,Root,With warm milk.,With ghee.,Avoid excess.,"Light, Oily",Mansi,Mansi.jpg
Jatiphala,Diarrhea,Seed,With warm water.,Avoid excess.,With honey.,"Light, Sharp",Nutmeg,Nutmeg.jpg
Jirak,Indigestion,Seed,Tea warm.,Tea cool.,With ginger.,"Light, Dry",Cumin,Cumin.jpg
Jyotishmati,Memory,Seed oil,With warm milk.,Small dose with ghee.,Avoid excess.,Sharp,Malkangni,Malkangni.jpg
Kalamegh,Liver disease,Whole plant,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Dry",Bhunimba,Bhunimba.jpg
Kanchanar,Gland disorders,Bark,Decoction warm.,Use with ghee.,With honey.,"Light, Dry",Gandari,Gandari.jpg
Kantakari,Asthma,Whole plant,Decoction warm.,Use with ghee.,With honey.,"Light, Sharp",Vyaghri,Vyaghri.jpg
Kapikacchu,Infertility,Seed,Milk decoction.,With ghee.,Avoid excess.,"Heavy, Oily",Kaunch,Kaunch.jpg
Karkatshringi,Cough,Fruit,Decoction warm.,Use cautiously.,With honey.,"Light, Dry",Shringi,Shringi.jpg
Karpura,Cold,Resin,External use.,External cooling.,Avoid ingestion.,"Light, Sharp",Camphor,Camphor.jpg
Katuka,Liver disease,Root,Decoction warm.,Decoction cool.,Avoid excess.,"Dry, Light",Kutki,Kutki.jpg
Khadira,Skin disease,Heartwood,Decoction warm.,Decoction cool.,With honey.,"Light, Dry",Kattha,Kattha.jpg
Kiratatikta,Fever,Whole plant,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Dry",Chirayata,Chirayata.jpg
Kumari,Liver disease,Pulp,With warm water.,With cool water.,Avoid excess.,"Heavy, Oily",Aloe,Aloe.jpg
Kupilu,Nervous disorders,Seed,Only processed; with ghee.,Avoid.,With honey (medical supervision).,"Light, Sharp",Kuchla,Kuchla.jpg
Kunkuma,Skin glow,Stigma,With warm milk.,With milk.,Avoid excess.,Oily,Saffron,Saffron.jpg
Kushmanda,Weakness,Fruit,With warm milk.,Juice cool.,Avoid excess.,"Light, Oily",Ash_Gourd,Ash_Gourd.jpg
Kutaj,Diarrhea,Bark,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Dry",Kuda,Kuda.jpg
Lavang,Toothache,Bud,Chew or decoction warm.,Avoid excess.,With honey.,"Light, Oily",Clove,Clove.jpg
Lodhra,Gynecological disorders,Bark,Decoction warm.,Decoction cool.,Use with honey.,"Light, Dry",Lodh,Lodh.jpg
Madanaphala,Emesis,Fruit,Medical use only.,Avoid.,Avoid.,"Light, Dry",Mainphal,Mainphal.jpg
Manjistha,Blood purifier,Root,Decoction warm.,Decoction cool.,Avoid excess.,"Heavy, Dry",Manjit,Manjit.jpg
Maricha,Cold,Fruit,With warm water.,Avoid excess.,With honey.,"Light, Sharp",Black_Pepper,Black_Pepper.jpg
Markandika,Fever,Whole plant,Decoction warm.,Decoction cool.,With honey.,"Light, Sharp",Senna,Senna.jpg
Mushali,Debility,Root,Milk decoction.,With ghee.,Avoid excess.,"Heavy, Oily",Musli,Musli.jpg
Mustaka,Diarrhea,Root,Decoction warm.,Decoction cool.,With honey.,"Light, Dry",Motha,Motha.jpg
Nagakeshar,Bleeding disorders,Flower,With warm water.,With cool water.,Avoid excess.,"Light, Dry",Naga,Naga.jpg
Nimbi,Skin disease,Leaf,Bitter decoction.,With ghee.,Avoid excess.,Light,Neem,Neem.jpg
Nirgundi,Pain,Leaf,Oil massage warm.,Paste cool.,External use.,"Light, Dry",Sambhalu,Sambhalu.jpg
Palash,Worms,Seed,Decoction warm.,Avoid excess.,With honey.,"Light, Dry",Palash,Palash.jpg
Palandu,Weak digestion,Bulb,Cooked warm.,Avoid excess.,With pepper.,"Heavy, Oily",Onion,Onion.jpg
Pashanbheda,Stones,Root,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Sharp",Stonebreaker,Stonebreaker.jpg
Patala,Respiratory disease,Bark,Decoction warm.,With ghee.,With honey.,"Light, Dry",Patala,Patala.jpg
Patola,Skin disease,Leaf,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Dry",Parwal,Parwal.jpg
Pippali,Asthma,Fruit,With warm milk.,Avoid excess.,With honey.,"Light, Oily",Long_Pepper,Long_Pepper.jpg
Punarnava,Edema,Root,Decoction warm.,Decoction cool.,With honey.,"Light, Dry",Punarnava,Punarnava.jpg
Rasna,Joint pain,Root,Decoction warm.,With ghee.,With honey.,Heavy,Yukta,Yukta.jpg
Rason,Indigestion,Bulb,Cooked warm.,Avoid excess.,With pepper.,"Heavy, Sharp",Garlic,Garlic.jpg
Saireyak,Skin disease,Whole plant,Decoction warm.,Decoction cool.,Avoid excess.,Light,Piabasa,Piabasa.jpg
Shallaki,Arthritis,Resin,With ghee.,Avoid excess.,With honey.,"Light, Dry",Guggul_like,Guggul_like.jpg
Saptaparna,Fever,Bark,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Oily",Chhitavan,Chhitavan.jpg
Sarpagandha,Hypertension,Root,With warm water.,With cool water.,Avoid excess.,Dry,Snake_root,Snake_root.jpg
Sariva,Skin disease,Root,Decoction warm.,Decoction cool.,Avoid excess.,"Heavy, Oily",Anantmool,Anantmool.jpg
Shalaparni,Weakness,Root,Milk decoction.,With ghee.,Avoid excess.,"Heavy, Oily",Sarivan,Sarivan.jpg
Shalmali,Diarrhea,Root,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Slimy",Semal,Semal.jpg
Shankhpushpi,Memory,Whole plant,With warm milk.,With ghee.,Avoid excess.,"Oily, Slimy",Mangalya,Mangalya.jpg
Shatavari,Reproductive health,Root,Milk decoction.,With ghee.,Avoid excess.,Heavy,Shatmuli,Shatmuli.jpg
Shatapushpa,Indigestion,Seed,Tea warm.,Tea cool.,With ginger.,"Light, Sharp",Dill,Dill.jpg
Shirish,Allergy,Bark,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Sharp",Shuktapriya,Shuktapriya.jpg
Shobhanjan,Nutrition,Seed,With warm food.,Avoid excess.,With pepper.,"Light, Sharp",Moringa,Moringa.jpg
Shyonak,Respiratory disease,Bark,Decoction warm.,With ghee.,With honey.,"Light, Dry",Sonapatha,Sonapatha.jpg
Shunthi,Cold,Rhizome,Tea warm.,Avoid excess.,With honey.,"Heavy, Sharp",Dry_Ginger,Dry_Ginger.jpg
Talisa,Cough,Leaf,Decoction warm.,Avoid excess.,With honey.,"Light, Sharp",Dhatripatra,Dhatripatra.jpg
Tila,Weakness,Seed,Oil massage warm.,With ghee.,Avoid excess.,"Heavy, Oily",Sesame,Sesame.jpg
Trivrit,Constipation,Root,With warm water.,Avoid.,With ginger.,"Light, Sharp",Nishoth,Nishoth.jpg
Tulsi,Cold,Leaf,Tea with ginger.,With ghee.,With honey.,"Light, Dry",tulsi,tulsi.jpg
Tvaka,Indigestion,Bark,Tea warm.,Avoid excess.,With ginger.,"Light, Sharp",Cinnamon,Cinnamon.jpg
Ushira,Burning sensation,Root,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Dry",Khas,Khas.jpg
Vacha,Speech disorder,Root,With warm water.,Avoid excess.,With honey.,"Light, Sharp",Ghodbach,Ghodbach.jpg
Varuna,Urinary disorders,Bark,Decoction warm.,Decoction cool.,Avoid excess.,"Light, Dry",Barna,Barna.jpg
Vasa,Cough,Leaf juice,With warm water.,With ghee.,With honey.,"Light, Dry",Adusa,Adusa.jpg
Vat,Diarrhea,Bark,Decoction warm.,Decoction cool.,Avoid excess.,"Heavy, Dry",Banyan,Banyan.jpg
Vatsanabha,Fever,Root,ONLY processed; medical use.,Avoid.,Avoid.,"Light, Sharp",Sweet_poison,Sweet_poison.jpg
Vidari,Weakness,Tuber,Milk decoction.,With ghee.,Avoid excess.,"Heavy, Oily",Vidarikand,Vidarikand.jpg
Vidanga,Worms,Fruit,With warm water.,Avoid excess.,With honey.,"Light, Sharp",Vaividang,Vaividang.jpg
Yashtimadhu,Cough,Root,Milk decoction.,With ghee.,Avoid excess.,"Heavy, Oily",Mulethi,Mulethi.jpg
