plant_name,disease,how_to_use,local_name,season,image
Gunja,Sciatica,Purified seed paste (External),Abrus precatorius,Winter,gunja.jpg
Ishwari,Toxins,Root paste (Emergency use),Aristolochia indica,Monsoon,ishwari.jpg
Jatiphala,Insomnia,Nutmeg powder in warm milk,Myristica fragrans,Winter,jatiphala.jpg
Kankola,Irritation,Fruit powder with water,Piper cubeba,Autumn,kankola.jpg
Karavira,Skin Issues,Root bark oil application,Nerium oleander,Perennial,karavira.jpg
Latakaranja,Colic,Seed powder with black salt,Caesalpinia bonduc,Winter,latakaranja.jpg
Madhavilata,Skin diseases,Leaf juice application,Hiptage benghalensis,Spring,madhavilata.jpg
Mahanimba,Piles,Seed powder with water,Melia azedarach,Summer,mahanimba.jpg
Narayana,Strength,Massage with root infused oil,Asparagus racemosus,Autumn/Winter,narayana.jpg
Saptaparna,Fever,Bark decoction (Bitter tonic),Alstonia scholaris,Autumn,saptaparna.jpg
Shatavari,Lactation,Take root powder with milk at night,Asparagus racemosus,Autumn/Winter,chitrak.jpg
Bael,Dysentery,Eat dry fruit pulp with water,Aegle marmelos,Summer,mandukparni.jpg
Chitrak,Arthritis,Apply root paste on joints for pain relief,Plumbago zeylanica,Monsoon/Autumn,palasha.jpg
Mandukparni,Memory Loss,Drink fresh leaf juice in the morning,Centella asiatica,Perennial,amaltas.jpg
Palasha,Worms,Take seed powder with honey,Butea monosperma,Spring/Summer,senna.jpg
Amaltas,Constipation,Eat fruit pulp as a mild laxative,Cassia fistula,Summer,patharchatta.jpg
Ashok,Menstrual Disorders,Bark decoction taken during periods,Saraca indica,Spring/Summer,parijat.jpg
Senna,Constipation,Leaf powder taken with warm water at night,Cassia angustifolia,Autumn,aprajita.jpg
Patharchatta,Kidney Stones,Eat fresh leaves raw daily morning,Kalanchoe pinnata,Perennial,manjistha.jpg
Parijat,Joint Pain,Drink leaf decoction twice daily,Nyctanthes arbor-tristis,Autumn,bhringraj.jpg
Aprajita,Brain Health,Blue flower tea improves cognitive function,Clitoria ternatea,Monsoon/Autumn,safed_musli.jpg
Manjistha,Skin Diseases,Apply root powder paste on affected area,Rubia cordifolia,Winter,gokhru.jpg
Bhringraj,Hair Loss,Apply leaf juice or oil infused with it,Eclipta alba,Monsoon,shankhpushpi.jpg
Safed Musli,Weakness,Take root powder with milk,Chlorophytum borivilianum,Monsoon,nagarmotha.jpg
Gokhru,Urinary Infection,Boil fruit in water and drink daily,Tribulus terrestris,Monsoon,kachnar.jpg
Shankhpushpi,Memory Loss,Take whole plant juice with honey,Convolvulus pluricaulis,Monsoon,vidarikand.jpg
Nagarmotha,Fever,Drink tuber decoction for cooling effect,Cyperus rotundus,Perennial,makoi.jpg
Kachnar,Thyroid,Bark decoction taken once daily,Bauhinia variegata,Spring/Summer,kantakari.jpg
Vidarikand,Rejuvenation,Take tuber powder with milk,Pueraria tuberosa,Winter,malkangni.jpg
Makoi,Liver Disease,Take fresh fruit juice twice daily,Solanum nigrum,Perennial,atibala.jpg
Kantakari,Cough,Boil whole plant and drink decoction,Solanum xanthocarpum,Perennial,kaunch_beej.jpg
Malkangni,Memory Loss,Take 2-3 drops of seed oil with milk,Celastrus paniculatus,Winter,varun.jpg
Atibala,Weakness,Take root powder with milk daily,Abutilon indicum,Winter,tejpatta.jpg
Kaunch Beej,Nervous Disorders,Take seed powder with honey,Mucuna pruriens,Winter,dalchini.jpg
Varun,Kidney Stones,Drink bark decoction twice daily,Crateva nurvala,Spring,heeng.jpg
Tejpatta,Diabetes,Add leaves to tea or cooking,Cinnamomum tamala,Perennial,methi.jpg
Dalchini,Cold,Take bark powder with honey,Cinnamomum zeylanicum,Perennial,saunf.jpg
Heeng,Bloating,Dissolve in warm water and drink,Ferula assa-foetida,Perennial,karipatta.jpg
Methi,Diabetes,Soak seeds overnight and eat in morning,Trigonella foenum-graecum,Winter,sadabahar.jpg
Saunf,Digestion,Chew seeds after meals,Foeniculum vulgare,Winter,anar.jpg
Karipatta,Anemia,Consume fresh leaves in food,Murraya koenigii,Perennial,lemon.jpg
Sadabahar,Diabetes,Chew 2-3 fresh flowers daily,Catharanthus roseus,Perennial,papaya.jpg
Anar,Anemia,Drink fresh pomegranate juice daily,Punica granatum,Summer/Winter,moringa.jpg
Lemon,Vitamin C Deficiency,Drink fresh lemon juice in water daily,Nimbu,Perennial,sarpgandha.jpg
Papaya,Low Platelet Count,Drink juice of fresh papaya leaves,Papita,Perennial,bhumyamalaki.jpg
Moringa,Malnutrition,Add moringa leaf powder to soups or dal,Sahjan,Summer/Monsoon,pashanbheda.jpg
Sarpgandha,Hypertension,Root powder with water,Rauwolfia serpentina,Monsoon/Autumn,kutaja.jpg
Bhumyamalaki,Hepatitis,Whole plant juice,Phyllanthus niruri,Monsoon,kapikacchu.jpg
Pashanbheda,Kidney Stones,Decoction of roots,Bergenia ligulata,Spring,rakta_chandan.jpg
Kutaja,IBS,Bark powder with buttermilk,Holarrhena antidysenterica,Monsoon,priyangu.jpg
Kapikacchu,Parkinson's,Seed powder with milk,Mucuna pruriens,Winter,aguru.jpg
Rakta Chandan,Acne,Heartwood paste application,Pterocarpus santalinus,Perennial,shallaki.jpg
Priyangu,Body odor,Use flower powder for dusting,Callicarpa macrophylla,Autumn,sarala.jpg
Aguru,Asthma,Inhale bark smoke,Aquilaria agallocha,Perennial,latakasturi.jpg
Shallaki,Osteoarthritis,Take resin powder with water,Boswellia serrata,Winter,katphala.jpg
Sarala,Skin disease,Apply resin paste,Pinus roxburghii,Perennial,tukakshiri.jpg
Latakasturi,Bad breath,Chew on seeds,Abelmoschus moschatus,Monsoon,darbha.jpg
Katphala,Sore throat,Take bark powder,Myrica nagi,Summer,durva.jpg
Tukakshiri,Chronic Cough,Bamboo manna powder with honey,Bambusa arundinacea,Perennial,shalmali.jpg
Darbha,Kidney stones,Drink root decoction,Desmostachya bipinnata,Perennial,rohira.jpg
Durva,Nosebleeds,Put 2 drops of fresh juice in nostril,Cynodon dactylon,Perennial,shami.jpg
Shalmali,Dysentery,Take flower powder with honey,Bombax ceiba,Spring,karira.jpg
Rohira,Splenomegaly,Drink bark decoction,Tecomella undulata,Spring,pilu.jpg
Shami,Respiratory issues,Inhale smoke of dried leaves,Prosopis cineraria,Perennial,vikankata.jpg
Karira,Joint inflammation,Apply fruit paste locally,Capparis decidua,Summer,tintidika.jpg
Pilu,Pyorrhea,Use tender twig for brushing teeth,Salvadora persica,Summer,kapittha.jpg
Vikankata,Fever,Take leaf decoction,Flacourtia indica,Summer,ankola.jpg
Tintidika,Anorexia,Mix fruit pulp with water and cumin,Rhus parviflora,Summer,vatada.jpg
Kapittha,Hiccups,Take fruit pulp with honey,Limonia acidissima,Autumn/Winter,akshota.jpg
Ankola,Dog bite,Apply root bark paste on the wound,Alangium salvifolium,Spring/Summer,karkatshringi.jpg
Vatada,Weakness,Eat 5-7 soaked almonds daily,Almond / Badam,Summer,tumburu.jpg
Akshota,Cholesterol,Consume 2-3 walnut kernels daily,Walnut / Akhrot,Autumn,vata.jpg
Karkatshringi,Whooping Cough,Take powder of galls with honey,Pistacia integerrima,Autumn,ashvattha.jpg
Tumburu,Tooth Sensitivity,Use fruit powder for cleaning teeth,Zanthoxylum armatum,Autumn,kushmanda.jpg
Vata,Diarrhea,Take leaf bud paste with buttermilk,Banyan / Bargad,Perennial,draksha.jpg
Ashvattha,Eczema,Apply bark paste locally,Peepal / Ficus religiosa,Perennial,ushira.jpg
Kushmanda,Mental Fatigue,Drink fresh fruit juice with sugar,Ash Gourd / Petha,Summer/Monsoon,hribera.jpg
Draksha,Acid Reflux,Eat soaked black raisins,Grapes / Munakka,Summer,chandana.jpg
Ushira,Thirst,Drink water infused with root fibers,Vetiver / Khus,Summer,patola.jpg
Hribera,Digestive Fever,Take root decoction,Coleus Vettiveroides,Monsoon,vatshnabha.jpg
Chandana,Burning Sensation,Apply sandalwood paste on skin,Sandalwood,Perennial,dhustura.jpg
Patola,Skin Diseases,Consume leaf decoction,Pointed Gourd,Summer/Monsoon,jayapala.jpg
Vatshnabha,High Fever,Purified root powder in trace amounts,Aconitum ferox,Winter,bhanga.jpg
Dhustura,Dandruff,Apply leaf juice with oil to scalp,Datura / Dhatura,Monsoon/Autumn,ahifena.jpg
Jayapala,Constipation,Diluted purified seed oil,Croton tiglium,Winter,vacha.jpg
Bhanga,Acute Pain,Purified leaf powder (under supervision),Cannabis sativa,Winter,putranjiva.jpg
Ahifena,Chronic Diarrhea,Purified extract in minute doses,Opium Poppy,Winter,shilajit.jpg
Vacha,Speech Disorders,Lick root powder mixed with honey,Sweet Flag,Perennial,madanaphala.jpg
Putranjiva,Infertility,Seed powder with milk,Putranjiva roxburghii,Perennial,indrayava.jpg
Shilajit,Anti-aging,Consume small amount with warm milk,Mineral Pitch,Summer,kebuka.jpg
Madanaphala,Detoxification,Fruit powder for therapeutic emesis,Randia dumetorum,Summer,murva.jpg
Indrayava,Fever,Seed powder with water,Holarrhena antidysenterica seeds,Monsoon,dronapushpi.jpg
Kebuka,Diabetes,Rhizome juice in the morning,Costus speciosus,Monsoon,brahmi_varchala.jpg
Murva,Skin ailments,Root decoction on skin,Marsdenia tenacissima,Monsoon,somlata.jpg
Dronapushpi,Sinusitis,Leaf juice drops in nostrils,Leucas aspera,Monsoon,japa.jpg
Brahmi-varchala,Eye health,Fresh plant juice as eye drops,Marsilea quadrifolia,Monsoon,kadali.jpg
Somlata,Fatigue,Decoction of dried stem,Ephedra gerardiana,Summer,kadamba.jpg
Japa,Hair thinning,Apply leaf and flower paste to scalp,Hibiscus rosa-sinensis,Perennial,kapitana.jpg
Kadali,High BP,Consume fresh stem juice,Musa paradisiaca,Perennial,karamarda.jpg
Kadamba,Wound healing,Apply leaf paste locally,Anthocephalus cadamba,Monsoon,karkotaki.jpg
Kapitana,Skin disease,Apply bark decoction locally,Thespesia populnea,Perennial,kasha.jpg
Karamarda,Appetite Loss,Eat fresh or pickled fruit,Carissa carandas,Summer,kumbhi.jpg
Karkotaki,Fever,Take decoction of the whole plant,Momordica dioica,Monsoon,madhunashini.jpg
Kasha,Urinary calculi,Take root decoction,Saccharum spontaneum,Autumn,yashtimadhu.jpg
Kumbhi,Skin ulcers,Apply bark paste locally,Careya arborea,Summer,sariva.jpg
Madhunashini,Diabetes,Take leaf powder with warm water,Gymnema sylvestre,Perennial,vidanga.jpg
Yashtimadhu,Acid Reflux,Chew root or take powder with honey,Glycyrrhiza glabra,Autumn/Winter,ativisha.jpg
Sariva,Blood purification,Drink root decoction,Hemidesmus indicus,Perennial,shyonaka.jpg
Vidanga,Intestinal worms,Take fruit powder with honey,Embelia ribes,Winter,gambhari.jpg
Ativisha,Diarrhea (kids),Root powder with honey,Aconitum heterophyllum,Autumn,patala.jpg
Shyonaka,Joint Pain,Bark decoction,Oroxylum indicum,Monsoon,agnimantha.jpg
Gambhari,Weakness,Fruit powder with milk,Gmelina arborea,Summer,prishniparni.jpg
Patala,Asthma,Root bark decoction,Stereospermum suaveolens,Summer,brihati.jpg
Agnimantha,Inflammation,Leaf decoction,Clerodendrum phlomidis,Perennial,nagakeshara.jpg
Prishniparni,Fractures,Whole plant paste,Uraria picta,Monsoon,lodhra.jpg
Nagakeshara,Bleeding issues,Flower stamen powder with butter,Mesua ferrea,Summer,aragvadha.jpg
Lodhra,Gynae issues,Bark decoction,Symplocos racemosa,Winter,sahachara.jpg
Aragvadha,Skin infections,Leaf paste or fruit pulp,Cassia fistula,Summer,bala.jpg
Sahachara,Sciatica,Leaf juice or decoction,Barleria prionitis,Winter,musta.jpg
Bala,Nerve weakness,Root powder with milk,Sida cordifolia,Winter,shunthi.jpg
Musta,Digestive issues,Root decoction,Nut Grass,Perennial,bakuchi.jpg
Shunthi,Nausea,Dry ginger with salt,Dry Ginger,Winter,chakramarda.jpg
Bakuchi,Vitiligo,Seed oil on patches,Psoralea corylifolia,Winter,nirgundi.jpg
Chakramarda,Ringworm,Leaf paste locally,Cassia tora,Monsoon,babbula.jpg
Nirgundi,Spondylitis,Massage with leaf oil,Vitex negundo,Perennial,bharangi.jpg
Babbula,Fractures,Bark powder with honey and milk,Acacia nilotica,Perennial,danti.jpg
Bharangi,Chronic Asthma,Root powder with ginger juice,Clerodendrum serratum,Monsoon,daruharidra.jpg
Danti,Constipation,Root paste (purgative),Baliospermum montanum,Winter,eranda.jpg
Daruharidra,Conjunctivitis,Extract (Rasanjana) as eye drops,Berberis aristata,Summer,kampillaka.jpg
Dhattura,Alopecia,Apply leaf juice on scalp,Datura metel,Monsoon,khadira.jpg
Eranda,Sciatica Pain,Root decoction with ginger,Ricinus communis,Perennial,udumbar.jpg
Kampillaka,Tapeworms,Fruit hair powder with jaggery,Mallotus philippensis,Winter,kanchanara.jpg
Khadira,Skin Disorders,Bark decoction for bathing,Acacia catechu,Perennial,nimba.jpg
Udumbar,Mouth ulcers,Bark decoction gargle,Ficus racemosa,Perennial,ajwain.jpg
Punarnava,Kidney Health,Whole plant juice taken twice daily 1,Boerhaavia diffusa,Monsoon,harad.jpg
Coriander,Indigestion,Drink coriander seed powder with warm water 2,Dhania,Winter,kutki.jpg
Kalmegh,Diarrhea,Take fresh leaf juice once daily 3,Andrographis paniculata,Monsoon/Autumn,chirata.jpg
Guggulu,Heart Disease,Resin powder taken with warm water 4,Commiphora mukul,Winter,karanja.jpg
Amla,Acidity,Fresh fruit juice taken daily morning 5,Emblica officinalis,Winter,jaiphal.jpg
Giloy,Fever,Boil stem pieces in water and drink 6,Tinospora cordifolia,Perennial,jatamansi.jpg
Ajwain,Stomach Ache,Chew seeds with a pinch of salt and water 7,Trachyspermum ammi,Winter,parpata.jpg
Mulethi,Sore Throat,Chew small pieces of root for relief 8,Glycyrrhiza glabra,Autumn/Winter,patha.jpg
Harad,Digestion,Take fruit powder with warm water 9,Terminalia chebula,Winter,talisapatra.jpg
Baheda,Cough,Mix fruit powder with honey and eat 10,Terminalia bellirica,Winter,vanshlochan.jpg
Kutki,Liver Disorders,Take root powder with lukewarm water 11,Picrorhiza kurroa,Autumn,kovidara.jpg
Pippali,Asthma,Take fruit powder with honey daily 12,Piper longum,Monsoon/Autumn,jyotishmati.jpg
Chirata,Fever,Drink decoction of the whole plant 13,Swertia chirayita,Autumn,rasona.jpg
Karanja,Skin Disease,Apply seed oil on affected areas 14,Pongamia pinnata,Summer,methika.jpg
Jaiphal,Insomnia,Mix a pinch of powder in warm milk 15,Myristica fragrans,Winter,atasi.jpg
Brahmi Powder,Anxiety,Take with warm water or milk 16,Brahmi churna,Perennial,tila.jpg
Arjuna Bark,Heart Palpitation,Drink bark tea with milk 17,Arjuna chhal,Perennial,bilva.jpg
Guggul Resin,High Triglycerides,Take purified resin with warm water 18,Guggul,Winter,
Jatamansi,Hypertension,Root powder 19,Nardostachys jatamansi,Autumn,
Parpata,Burning Sensation,Whole plant decoction 20,Fumaria indica,Winter,
Patha,Menorrhagia,Root powder with honey 21,Cissampelos pareira,Monsoon,
Pippali,Spleen Disorders,Fruit powder with honey 22,Piper longum,Monsoon/Autumn,
Shalaparni,Heart Palpitation,Root decoction with milk 23,Desmodium gangeticum,Monsoon,
Talisapatra,Anorexia,Leaf powder with honey 24,Abies webbiana,Winter,
Vanshlochan,Respiratory weakness,Bamboo silica with honey 25,Bamboo Silica,Perennial,
Vidanaga,Worm infestation,Powder on empty stomach 26,Embelia ribes,Winter,
Karkatshringi,Whooping Cough,Take powder of galls with honey,Pistacia integerrima,Autumn,
Tumburu,Tooth Sensitivity,Use fruit powder for cleaning teeth,Zanthoxylum armatum,Autumn,
Kovidara,Goitre / Tonsillitis,Drink bark decoction,Bauhinia variegata,Spring/Summer,
Vata,Diarrhea,Take leaf bud paste with buttermilk,Banyan / Bargad,Perennial,
Ashvattha,Eczema,Apply bark paste locally,Peepal / Ficus religiosa,Perennial,
Kushmanda,Mental Fatigue,Drink fresh fruit juice with sugar,Ash Gourd / Petha,Summer/Monsoon,
Draksha,Acid Reflux,Eat soaked black raisins,Grapes / Munakka,Summer,
Ushira,Excessive Thirst,Drink water infused with root fibers,Vetiver / Khus,Summer,
Hribera,Digestive Fever,Take root decoction,Coleus Vettiveroides,Monsoon,
Chandana,Burning Sensation,Apply sandalwood paste on skin,Sandalwood,Perennial,
Patola,Skin Diseases,Consume leaf decoction,Pointed Gourd,Summer/Monsoon,
Vatshnabha,High Fever,Purified root powder in trace amounts,Aconitum ferox,Winter,
Dhustura,Dandruff,Apply leaf juice mixed with oil to scalp,Datura / Dhatura,Monsoon/Autumn,
Jayapala,Constipation,Diluted purified seed oil,Croton tiglium,Winter,
Bhanga,Acute Pain,Purified leaf powder (under supervision),Cannabis sativa,Winter,
Ahifena,Chronic Diarrhea,Purified extract in minute doses,Opium Poppy,Winter,
Vacha,Speech Disorders,Lick root powder mixed with honey,Sweet Flag,Perennial,
Putranjiva,Infertility,Seed powder with milk,Putranjiva roxburghii,Perennial,
Shilajit,Anti-aging,Consume small amount with warm milk,Mineral Pitch,Summer,
Madanaphala,Detoxification,Fruit powder for therapeutic emesis,Randia dumetorum,Summer,
Indrayava,Fever,Seed powder with water,Holarrhena antidysenterica seeds,Monsoon,
Kebuka,Diabetes,Rhizome juice in the morning,Costus speciosus,Monsoon,
Murva,Skin ailments,Root decoction on skin,Marsdenia tenacissima,Monsoon,
Dronapushpi,Sinusitis,Leaf juice drops in nostrils,Leucas aspera,Monsoon,
Aparajita,Memory enhancement,Butterfly pea flower tea,Clitoria ternatea,Monsoon/Autumn,
Brahmi-varchala,Eye health,Fresh plant juice as eye drops,Marsilea quadrifolia,Monsoon,
Somlata,Fatigue,Decoction of dried stem,Ephedra gerardiana,Summer,
Japa,Hair thinning,Apply leaf and flower paste to scalp,Hibiscus rosa-sinensis,Perennial,
Kadali,High BP,Consume fresh stem juice,Musa paradisiaca,Perennial,
Kadamba,Wound healing,Apply leaf paste locally,Anthocephalus cadamba,Monsoon,
Kapitana,Skin disease,Apply bark decoction locally,Thespesia populnea,Perennial,
Karamarda,Loss of appetite,Eat fresh or pickled fruit,Carissa carandas,Summer,
Karkotaki,Fever,Take decoction of the whole plant,Momordica dioica,Monsoon,
Kasha,Urinary calculi,Take root decoction,Saccharum spontaneum,Autumn,
Kumbhi,Skin ulcers,Apply bark paste locally,Careya arborea,Summer,
Madana,Therapeutic vomiting,Fruit powder for emesis (detox),Catunaregam spinosa,Summer,
Madhunashini,Diabetes,Take leaf powder with warm water,Gymnema sylvestre,Perennial,
Yashtimadhu,Acid Reflux,Chew root or take powder with honey,Glycyrrhiza glabra,Autumn/Winter,
Haritaki,Constipation,Take fruit powder with warm water,Terminalia chebula,Winter,
Bibhitaki,Hoarseness,Gargle with fruit decoction,Terminalia bellirica,Winter,
Amalaki,Hair health,Apply fruit juice or powder to scalp,Emblica officinalis,Winter,
Sariva,Blood purification,Drink root decoction,Hemidesmus indicus,Perennial,
Vidanga,Intestinal worms,Take fruit powder with honey,Embelia ribes,Winter,
Karavira,Skin diseases,Root bark paste (external use only),Nerium oleander,Perennial,
Ativisha,Diarrhea (kids),Root powder with honey,Aconitum heterophyllum,Autumn,
Shyonaka,Joint Pain,Bark decoction,Oroxylum indicum,Monsoon,
Gambhari,General weakness,Fruit powder with milk,Gmelina arborea,Summer,
Patala,Asthma,Root bark decoction,Stereospermum suaveolens,Summer,
Agnimantha,Inflammation,Leaf decoction,Clerodendrum phlomidis,Perennial,
Prishniparni,Fractures,Whole plant paste,Uraria picta,Monsoon,
Brihati,Respiratory issues,Root decoction,Solanum indicum,Perennial,
Varuna,Urinary infections,Bark decoction,Crataeva nurvala,Spring,
Nagakeshara,Bleeding disorders,Flower stamen powder with butter,Mesua ferrea,Summer,
Lodhra,Gynae issues,Bark decoction,Symplocos racemosa,Winter,
Ashoka,Menstrual cramps,Bark decoction with milk,Saraca asoca,Spring,
Kiratatikta,Fever,Decoction of the whole plant,Swertia chirayita,Autumn,
Aragvadha,Skin infections,Leaf paste or fruit pulp,Cassia fistula,Summer,
Sahachara,Sciatica,Leaf juice or decoction,Barleria prionitis,Winter,
Bala,Nerve weakness,Root powder with milk,Sida cordifolia,Winter,
Musta,Digestive disorders,Root decoction,Nut Grass,Perennial,
Vidari,General debility,Tuber powder with milk,Pueraria tuberosa,Winter,
Bakuchi,Vitiligo,Seed oil on patches,Psoralea corylifolia,Winter,
Chakramarda,Ringworm,Leaf paste locally,Cassia tora,Monsoon,
Nirgundi,Spondylitis,Massage with leaf oil,Vitex negundo,Perennial,
Jyotishmati,Intellect,Seed oil with milk,Celastrus paniculatus,Winter,
Rasona,Cholesterol,Raw garlic clove,Garlic,Winter,
Methika,Hair fall,Seed paste on scalp,Fenugreek,Winter,
Atasi,High BP,Ground flaxseeds,Flaxseed,Winter,
Tila,Dental strength,Chew black sesame,Sesame,Winter,
Vatada,Memory loss,Soaked almonds,Almond,Summer,
Babbula,Bone fractures,Bark powder with honey and milk,Acacia nilotica,Perennial,
Bharangi,Chronic Asthma,Root powder with ginger juice,Clerodendrum serratum,Monsoon,
Bilva,IBS,Dried fruit pulp with buttermilk,Aegle marmelos,Summer,
Danti,Severe constipation,Root paste (purgative),Baliospermum montanum,Winter,
Daruharidra,Conjunctivitis,Extract (Rasanjana) as eye drops,Berberis aristata,Summer,
Dhattura,Alopecia,Apply leaf juice on the scalp,Datura metel,Monsoon,
Eranda,Sciatica Pain,Root decoction with ginger,Ricinus communis,Perennial,
Guduchi,Gouty Arthritis,Stem decoction with Ghee,Tinospora cordifolia,Perennial,
Kampillaka,Tapeworms,Fruit hair powder with jaggery,Mallotus philippensis,Winter,
Kanchanara,Thyroid / Goiter,Bark decoction in the morning,Bauhinia variegata,Spring,
Khadira,Skin Disorders,Bark decoction for bathing/drinking,Acacia catechu,Perennial,
Nimba,Acne and Pimples,Apply fresh leaf paste,Azadirachta indica,Perennial,
